Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
leather-moto-jacket,Leather Moto Jacket,<p>Buttery lambskin with an asymmetric zip and quilted shoulders. Broken in from day one.</p>,Common Thread,Outerwear,"women, outerwear, fall, new",TRUE,Size,XS,CT-LEATHER-MOTO-JACKET-XS,500,shopify,25,deny,manual,245.00,295.00,TRUE,TRUE,https://burst.shopifycdn.com/photos/close-up-leather-jacket-over-shoulders.jpg?width=1600,1,Leather Moto Jacket,active
leather-moto-jacket,,,,,,,,S,CT-LEATHER-MOTO-JACKET-S,500,shopify,25,deny,manual,245.00,295.00,TRUE,TRUE,,,,
leather-moto-jacket,,,,,,,,M,CT-LEATHER-MOTO-JACKET-M,500,shopify,25,deny,manual,245.00,295.00,TRUE,TRUE,,,,
leather-moto-jacket,,,,,,,,L,CT-LEATHER-MOTO-JACKET-L,500,shopify,25,deny,manual,245.00,295.00,TRUE,TRUE,,,,
leather-moto-jacket,,,,,,,,XL,CT-LEATHER-MOTO-JACKET-XL,500,shopify,25,deny,manual,245.00,295.00,TRUE,TRUE,,,,
light-overcoat,Stone Overcoat,"<p>A lightweight wool-blend overcoat in stone. Notch lapel, clean single-breasted front.</p>",Common Thread,Outerwear,"men, outerwear, fall",TRUE,Size,XS,CT-LIGHT-OVERCOAT-XS,500,shopify,25,deny,manual,280.00,,TRUE,TRUE,https://burst.shopifycdn.com/photos/man-poses-in-light-colored-overcoat.jpg?width=1600,1,Stone Overcoat,active
light-overcoat,,,,,,,,S,CT-LIGHT-OVERCOAT-S,500,shopify,25,deny,manual,280.00,,TRUE,TRUE,,,,
light-overcoat,,,,,,,,M,CT-LIGHT-OVERCOAT-M,500,shopify,25,deny,manual,280.00,,TRUE,TRUE,,,,
light-overcoat,,,,,,,,L,CT-LIGHT-OVERCOAT-L,500,shopify,25,deny,manual,280.00,,TRUE,TRUE,,,,
light-overcoat,,,,,,,,XL,CT-LIGHT-OVERCOAT-XL,500,shopify,25,deny,manual,280.00,,TRUE,TRUE,,,,
camel-wool-coat,Camel Wool Coat,"<p>Relaxed, longline coat in brushed camel wool. Made for layering over knits.</p>",Common Thread,Outerwear,"women, outerwear, fall, bestseller",TRUE,Size,XS,CT-CAMEL-WOOL-COAT-XS,500,shopify,25,deny,manual,260.00,,TRUE,TRUE,https://burst.shopifycdn.com/photos/womens-fall-fashion-in-autumn-landscape.jpg?width=1600,1,Camel Wool Coat,active
camel-wool-coat,,,,,,,,S,CT-CAMEL-WOOL-COAT-S,500,shopify,25,deny,manual,260.00,,TRUE,TRUE,,,,
camel-wool-coat,,,,,,,,M,CT-CAMEL-WOOL-COAT-M,500,shopify,25,deny,manual,260.00,,TRUE,TRUE,,,,
camel-wool-coat,,,,,,,,L,CT-CAMEL-WOOL-COAT-L,500,shopify,25,deny,manual,260.00,,TRUE,TRUE,,,,
camel-wool-coat,,,,,,,,XL,CT-CAMEL-WOOL-COAT-XL,500,shopify,25,deny,manual,260.00,,TRUE,TRUE,,,,
denim-trucker-jacket,Denim Trucker Jacket,<p>Classic mid-wash trucker in rigid 13oz denim. Pin not included.</p>,Common Thread,Outerwear,"men, outerwear, denim",TRUE,Size,XS,CT-DENIM-TRUCKER-JACKET-XS,500,shopify,25,deny,manual,128.00,,TRUE,TRUE,https://burst.shopifycdn.com/photos/hotdog-pin-man-jean-jacket.jpg?width=1600,1,Denim Trucker Jacket,active
denim-trucker-jacket,,,,,,,,S,CT-DENIM-TRUCKER-JACKET-S,500,shopify,25,deny,manual,128.00,,TRUE,TRUE,,,,
denim-trucker-jacket,,,,,,,,M,CT-DENIM-TRUCKER-JACKET-M,500,shopify,25,deny,manual,128.00,,TRUE,TRUE,,,,
denim-trucker-jacket,,,,,,,,L,CT-DENIM-TRUCKER-JACKET-L,500,shopify,25,deny,manual,128.00,,TRUE,TRUE,,,,
denim-trucker-jacket,,,,,,,,XL,CT-DENIM-TRUCKER-JACKET-XL,500,shopify,25,deny,manual,128.00,,TRUE,TRUE,,,,
faux-fur-coat,Faux Fur Statement Coat,<p>Plush faux fur with a hidden hook closure. The coat that does all the talking.</p>,Common Thread,Outerwear,"women, outerwear, evening",TRUE,Size,XS,CT-FAUX-FUR-COAT-XS,500,shopify,25,deny,manual,310.00,360.00,TRUE,TRUE,https://burst.shopifycdn.com/photos/fashion-model-in-fur.jpg?width=1600,1,Faux Fur Statement Coat,active
faux-fur-coat,,,,,,,,S,CT-FAUX-FUR-COAT-S,500,shopify,25,deny,manual,310.00,360.00,TRUE,TRUE,,,,
faux-fur-coat,,,,,,,,M,CT-FAUX-FUR-COAT-M,500,shopify,25,deny,manual,310.00,360.00,TRUE,TRUE,,,,
